t,Q
24/08/2023 15:21:03,185.14625
24/08/2023 15:22:03,157.408777777778
24/08/2023 15:23:03,166.019333333333
24/08/2023 15:24:03,168.039916666667
24/08/2023 15:25:03,182.012111111111
24/08/2023 15:26:03,174.004444444444
24/08/2023 15:27:03,166.139833333333
24/08/2023 15:28:03,177.380444444444
24/08/2023 15:29:03,171.345027777778
24/08/2023 15:30:03,174.814333333333
24/08/2023 15:31:03,165.425944444444
24/08/2023 15:32:03,162.790305555556
24/08/2023 15:33:03,180.531888888889
24/08/2023 15:34:03,175.139888888889
24/08/2023 15:35:03,155.607777777778
24/08/2023 15:36:03,165.223444444444
24/08/2023 15:37:03,178.598222222222
24/08/2023 15:38:03,171.585694444444
24/08/2023 15:39:03,171.551888888889
24/08/2023 15:40:03,175.292194444444
24/08/2023 15:41:03,181.668666666667
24/08/2023 15:42:03,168.702194444444
24/08/2023 15:43:03,167.872
24/08/2023 15:44:03,155.675055555556
24/08/2023 15:45:03,173.98
24/08/2023 15:46:03,162.458555555556
24/08/2023 15:47:03,176.495277777778
24/08/2023 15:48:03,184.0015
24/08/2023 15:49:03,179.043722222222
24/08/2023 15:50:03,152.409555555556
24/08/2023 15:51:03,179.013722222222
24/08/2023 15:52:03,182.904444444444
24/08/2023 15:53:03,180.582888888889
24/08/2023 15:54:03,189.48475
24/08/2023 15:55:03,165.185055555556
24/08/2023 15:56:03,186.356333333333
24/08/2023 15:57:03,180.226
24/08/2023 15:58:03,167.343138888889
24/08/2023 15:59:03,182.013333333333
24/08/2023 16:00:03,189.455277777778
24/08/2023 16:01:03,161.967361111111
24/08/2023 16:02:03,170.270416666667
24/08/2023 16:03:03,192.047611111111
24/08/2023 16:04:03,171.128222222222
24/08/2023 16:05:03,169.547833333333
24/08/2023 16:06:03,172.962916666667
24/08/2023 16:07:03,174.909444444444
24/08/2023 16:08:02,174.607055555556
24/08/2023 16:09:02,160.526305555556
24/08/2023 16:10:02,177.381944444444
24/08/2023 16:11:02,179.523388888889
24/08/2023 16:12:02,172.149
24/08/2023 16:13:02,169.850972222222
24/08/2023 16:14:02,172.754888888889
24/08/2023 16:15:02,174.118611111111
24/08/2023 16:16:02,161.532777777778
24/08/2023 16:17:02,181.501972222222
24/08/2023 16:18:02,182.060138888889
24/08/2023 16:19:02,162.403722222222
24/08/2023 16:20:02,172.146722222222
24/08/2023 16:21:02,176.146055555556
24/08/2023 16:22:02,174.514055555556
24/08/2023 16:23:02,165.787861111111
24/08/2023 16:24:02,174.977777777778
24/08/2023 16:25:02,190.101055555556
24/08/2023 16:26:02,171.268305555556
24/08/2023 16:27:02,171.545194444444
24/08/2023 16:28:02,172.225833333333
24/08/2023 16:29:02,167.831777777778
24/08/2023 16:30:02,177.871
24/08/2023 16:31:02,173.176111111111
24/08/2023 16:32:02,179.126972222222
24/08/2023 16:33:02,176.682972222222
24/08/2023 16:34:02,166.147916666667
24/08/2023 16:35:02,171.405111111111
24/08/2023 16:36:02,193.722722222222
24/08/2023 16:37:02,169.993722222222
24/08/2023 16:38:02,169.929166666667
24/08/2023 16:39:02,191.052416666667
24/08/2023 16:40:02,171.855472222222
24/08/2023 16:41:02,173.909805555556
24/08/2023 16:42:02,178.691
24/08/2023 16:43:02,166.211777777778
24/08/2023 16:44:02,185.960861111111
24/08/2023 16:45:02,172.679333333333
24/08/2023 16:46:02,183.341388888889
24/08/2023 16:47:02,172.751055555556
24/08/2023 16:48:02,166.890694444444
24/08/2023 16:49:02,143.261888888889
24/08/2023 16:50:02,177.152111111111
24/08/2023 16:51:02,175.588333333333
24/08/2023 16:52:02,174.969361111111
24/08/2023 16:53:02,155.661222222222
24/08/2023 16:54:02,155.867333333333
24/08/2023 16:55:02,174.230805555556
24/08/2023 16:56:02,169.065111111111
24/08/2023 16:57:02,181.087222222222
24/08/2023 16:58:02,181.688722222222
24/08/2023 16:59:02,159.236361111111
24/08/2023 17:00:02,179.969888888889
24/08/2023 17:01:02,183.278194444444
24/08/2023 17:02:02,173.914166666667
24/08/2023 17:03:02,164.163583333333
24/08/2023 17:04:02,171.745361111111
24/08/2023 17:05:02,173.883111111111
24/08/2023 17:06:02,150.907833333333
24/08/2023 17:07:02,173.002777777778
24/08/2023 17:08:02,178.458888888889
24/08/2023 17:09:02,184.646111111111
24/08/2023 17:10:02,197.377805555556
24/08/2023 17:11:02,159.241694444444
24/08/2023 17:12:02,174.247305555556
24/08/2023 17:13:02,169.353694444444
24/08/2023 17:14:02,160.054555555556
24/08/2023 17:15:02,144.296777777778
24/08/2023 17:16:02,167.404333333333
24/08/2023 17:17:02,156.176111111111
24/08/2023 17:18:02,164.785666666667
24/08/2023 17:19:02,153.473111111111
24/08/2023 17:20:02,173.07575
24/08/2023 17:21:02,187.906416666667
24/08/2023 17:22:02,154.659722222222
24/08/2023 17:23:02,163.319138888889
24/08/2023 17:24:02,184.425055555556
24/08/2023 17:25:02,180.3835
24/08/2023 17:26:02,167.470916666667
24/08/2023 17:27:02,171.190166666667
24/08/2023 17:28:02,175.173
24/08/2023 17:29:02,152.799722222222
24/08/2023 17:30:02,180.003527777778
24/08/2023 17:31:02,164.126027777778
24/08/2023 17:32:02,194.036555555556
24/08/2023 17:33:02,167.556722222222
24/08/2023 17:34:02,167.15
24/08/2023 17:35:02,183.963972222222
24/08/2023 17:36:02,167.431833333333
24/08/2023 17:37:02,173.143583333333
24/08/2023 17:38:02,166.7745
24/08/2023 17:39:02,173.588
24/08/2023 17:40:02,184.657555555556
24/08/2023 17:41:02,173.226222222222
24/08/2023 17:42:02,163.67375
24/08/2023 17:43:02,167.717333333333
24/08/2023 17:44:02,178.966111111111
24/08/2023 17:45:01,184.612361111111
24/08/2023 17:46:01,171.640611111111
24/08/2023 17:47:01,173.055777777778
24/08/2023 17:48:01,176.99175
24/08/2023 17:49:01,180.761
24/08/2023 17:50:01,177.894555555556
24/08/2023 17:51:01,161.992888888889
24/08/2023 17:52:01,174.762166666667
24/08/2023 17:53:01,167.106388888889
24/08/2023 17:54:01,185.7125
24/08/2023 17:55:01,172.464666666667
24/08/2023 17:56:01,172.038777777778
24/08/2023 17:57:01,187.766083333333
24/08/2023 17:58:01,163.441222222222
24/08/2023 17:59:01,173.902888888889
