Var1,Var2
0,173.334405092593
1,173.2443625
2,173.089615664845
3,172.952832854406
4,172.79854472693
5,171.586469907407
6,171.2110625
7,170.205348399247
8,170.091812037037
9,169.800014351852
10,169.626987037037
11,169.076290708812
12,168.46618287037
13,168.325689351852
14,168.253542372881
15,168.050506120527
16,167.670738425926
17,167.421505555556
18,167.349532485876
19,167.229726388889
20,166.753862103175
21,166.733468981481
22,166.639700564972
23,166.572231167608
24,166.287328947368
25,166.26063697318
26,166.175319923372
27,166.156828703704
28,166.149137037037
29,166.109564814815
30,165.9819
31,165.969004273504
32,165.952039961014
33,165.910805555556
34,165.822056944444
35,165.749641203704
36,165.732002314815
37,165.716163888889
38,165.631985185185
39,165.620393981481
40,165.608762452107
41,165.584047685185
42,165.536875
43,165.500528248588
44,165.483094444444
45,165.448388425926
46,165.43141712963
47,165.383602314815
48,165.355036723164
49,165.350154214559
50,165.350082407407
51,165.309906609195
52,165.306618173258
53,165.245019907407
54,165.243472693032
55,165.190586111111
56,165.184074537037
57,165.177439814815
58,165.13462037037
59,165.1322259887
60,165.061617030965
61,165.011892592593
62,165.008037664783
63,164.994730092593
64,164.962635648148
65,164.957313888889
66,164.935086158192
67,164.92693287037
68,164.922830508475
69,164.910264814815
70,164.899539548023
71,164.897235632184
72,164.896491203704
73,164.890678240741
74,164.864461393597
75,164.854998611111
76,164.846408333333
77,164.833094907407
78,164.81779566855
79,164.807556026365
80,164.779482407407
81,164.764464689266
82,164.744044907407
83,164.74293957115
84,164.740601388889
85,164.733505847953
86,164.731934086629
87,164.727325462963
88,164.723218518519
89,164.720623352166
90,164.702308333333
91,164.694129472693
92,164.691980092593
93,164.677230555556
94,164.633379943503
95,164.629793582376
96,164.622624074074
97,164.611004708098
98,164.609131826742
99,164.596295833333
100,164.595040277778
101,164.583551388889
102,164.523717592593
103,164.522318981482
104,164.510793981481
105,164.503755555556
106,164.500021759259
107,164.49893126177
108,164.49434086629
109,164.493417592593
110,164.487576741996
111,164.471854885057
112,164.459015277778
113,164.423193502825
114,164.412547685185
115,164.402491666667
116,164.39779537037
117,164.391093981482
118,164.376475
119,164.364935648148
120,164.360861111111
121,164.357811574074
122,164.348534722222
123,164.34600047081
124,164.345747126437
125,164.338070175439
126,164.337965277778
127,164.329564814815
128,164.321140301318
129,164.320114814815
130,164.302555092593
131,164.289721296296
132,164.278957627119
133,164.266277314815
134,164.249164814815
135,164.247131944444
136,164.232555092593
137,164.220381944444
138,164.211476388889
139,164.210662037037
140,164.209780092593
141,164.207963276836
142,164.200047551789
143,164.198936574074
144,164.195222685185
145,164.182406481481
146,164.175271186441
147,164.165373611111
148,164.143175612053
149,164.132893518519
150,164.132867592593
151,164.128173489279
152,164.114454501916
153,164.105411487759
154,164.087730874317
155,164.085126647834
156,164.065089814815
157,164.052661111111
158,164.043918055556
159,164.040002354049
160,164.009506944444
161,163.986761770245
162,163.98124137931
163,163.970751388889
164,163.947608796296
165,163.939425
166,163.929726851852
167,163.916861574074
168,163.904753703704
169,163.897106481481
170,163.896656481482
171,163.896479166667
172,163.87955
173,163.858657407407
174,163.852581018518
175,163.825984259259
176,163.821227777778
177,163.808095833333
178,163.782918055556
179,163.780691148776
180,163.753918079096
